TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
und	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Fragen	O	O	O	O	O	O	_	_	_
gerade	O	O	O	O	O	O	_	_	_
trafen	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Geburtstage	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
worüber	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
freute	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Teckla	B-PER	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
wehr	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
heim	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
vergessen	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
fleisig	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Gott	B-OTH	O	O	O	O	O	http://www.wikidata.org/entity/Q190	_	_
der	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
dich	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
deinen	O	O	O	O	O	O	_	_	_
Briefe	O	O	O	O	O	O	_	_	_
Sterken	O	O	O	O	O	O	_	_	_
wier	O	O	O	O	O	O	_	_	_
hatten	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
zweite	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Feier	O	O	O	O	O	O	_	_	_
besuch	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Steffanstage	O	O	O	O	O	O	_	_	_
wahr	O	O	O	O	O	O	_	_	_
tochter	O	O	O	O	O	O	_	_	_
Mari	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Hedwig	B-PER	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
Neustad	B-LOC	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Kindern	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Josef	B-PER	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
seine	O	O	O	O	O	O	_	_	_
Famlichen	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
hatten	O	O	O	O	O	O	_	_	_
wier	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Großerst	O	O	O	O	O	O	_	_	_
verzehrt	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
sagte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Amerik	B-LOC	O	O	O	O	O	_	_	_
machen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
beiden	O	O	O	O	O	O	_	_	_
Pächter	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Klestern	O	O	O	O	O	O	_	_	_
Liebete	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
schließenen	O	O	O	O	O	O	_	_	_
Schreiben	B-OTH	O	O	O	O	O	http://www.wikidata.org/entity/Q697295	_	_
mit	O	O	O	O	O	O	_	_	_
vielen	O	O	O	O	O	O	_	_	_
herzlichen	O	O	O	O	O	O	_	_	_
Grüßen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
diesen	O	O	O	O	O	O	_	_	_
verbleibe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Lieber	B-OTH	O	O	O	O	O	http://www.wikidata.org/entity/Q1470283	_	_
Vater	O	O	O	O	O	O	_	_	_
