TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
man	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Ställe	O	O	O	O	O	O	_	_	_
erhat	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
böse	O	O	O	O	O	O	_	_	_
Blattern	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Junge	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
sollen	O	O	O	O	O	O	_	_	_
einige	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
früher	O	O	O	O	O	O	_	_	_
kommen	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
stärker	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
möchte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
einbissel	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
Ruhe	O	O	O	O	O	O	_	_	_
gönnen	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Kin	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
denken	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
Von	O	O	O	O	O	O	_	_	_
Wilchen	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
bekommen	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
paar	O	O	O	O	O	O	_	_	_
Zeilen	O	O	O	O	O	O	_	_	_
billigen	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
gieb	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Adresse	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
weis	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
