TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Paul	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q1518011	_	_
Nun	O	O	O	O	O	O	_	_	_
einlegen	O	O	O	O	O	O	_	_	_
Auch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
jüngste	O	O	O	O	O	O	_	_	_
hin	O	O	O	O	O	O	_	_	_
kommt	O	O	O	O	O	O	_	_	_
Titt	B-PER	O	O	O	O	O	_	_	_
schicke	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Fingering	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
würde	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
Schwester	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Rede	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Hirschönes	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
freuen	O	O	O	O	O	O	_	_	_
Aber	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
München	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q1726	_	_
sie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
17	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
möglich	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
komme	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
große	O	O	O	O	O	O	_	_	_
Lust	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
zukommen	O	O	O	O	O	O	_	_	_
Hoffen	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Paul	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q1518011	_	_
den	O	O	O	O	O	O	_	_	_
Aber	O	O	O	O	O	O	_	_	_
Marta	B-PER	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
fast	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
zunehmen	O	O	O	O	O	O	_	_	_
weil	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
gung	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Martel	B-PER	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
8	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
wegeschie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Mark	B-PER	O	O	O	O	O	_	_	_
ach	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Simme	O	O	O	O	O	O	_	_	_
wurde	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
Portographie	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Bräutigam	O	O	O	O	O	O	_	_	_
kegen	O	O	O	O	O	O	_	_	_
Da	O	O	O	O	O	O	_	_	_
bekauft	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Bild	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
15	O	O	O	O	O	O	_	_	_
Mai	O	O	O	O	O	O	_	_	_
kündigen	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Schmied	O	O	O	O	O	O	_	_	_
Martel	B-PER	O	O	O	O	O	_	_	_
odel	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Witt	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q579969	_	_
Ich	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
sehen	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
Rike	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
Anna	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q559296	_	_
die	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Hampel	O	O	O	O	O	O	_	_	_
Pras	O	O	O	O	O	O	_	_	_
armer	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
Fiel	O	O	O	O	O	O	_	_	_
Görlich	B-PER	O	O	O	O	O	_	_	_
erzählen	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
100	O	O	O	O	O	O	_	_	_
grüßen	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Will	O	O	O	O	O	O	_	_	_
fiel	O	O	O	O	O	O	_	_	_
Görlich	B-PER	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
oder	O	O	O	O	O	O	_	_	_
bleibt	O	O	O	O	O	O	_	_	_
wer	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Deutschland	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q183	_	_
habe	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
laß	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
gefreut	O	O	O	O	O	O	_	_	_
Marta	B-PER	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
gleich	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Paul	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q1518011	_	_
lesen	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
sage	O	O	O	O	O	O	_	_	_
ihm	O	O	O	O	O	O	_	_	_
Antwort	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
Mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
also	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Marta	B-PER	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
ganz	O	O	O	O	O	O	_	_	_
weg	O	O	O	O	O	O	_	_	_
schluß	O	O	O	O	O	O	_	_	_
Auch	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
wiederum	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
schönen	O	O	O	O	O	O	_	_	_
Photographie	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
