TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
erst	O	O	O	O	O	O	_	_	_
versandt	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Tekla	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
bedanken	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
Herrlich	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
abeschen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
geschickt	O	O	O	O	O	O	_	_	_
habt	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Wesen	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
muchte	O	O	O	O	O	O	_	_	_
verdienen	O	O	O	O	O	O	_	_	_
Gottlohne	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
tausendmal	O	O	O	O	O	O	_	_	_
Josef	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Berta	O	O	O	O	O	O	_	_	_
sen	O	O	O	O	O	O	_	_	_
eben	O	O	O	O	O	O	_	_	_
unartig	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
kamen	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Nieman	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
Geisleis	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
heraus	O	O	O	O	O	O	_	_	_
schmeister	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
halt	O	O	O	O	O	O	_	_	_
traurig	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Mund	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
halten	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
großes	O	O	O	O	O	O	_	_	_
Maul	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
heute	O	O	O	O	O	O	_	_	_
genug	O	O	O	O	O	O	_	_	_
Tausend	O	O	O	O	O	O	_	_	_
herzliche	O	O	O	O	O	O	_	_	_
Grüße	O	O	O	O	O	O	_	_	_
müße	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
Auch	O	O	O	O	O	O	_	_	_
diebende	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
930	O	O	O	O	O	O	_	_	_
