TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
nie	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
Man	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
führ	O	O	O	O	O	O	_	_	_
annehmen	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
größte	O	O	O	O	O	O	_	_	_
Teil	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Füller	O	O	O	O	O	O	_	_	_
Wähler	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
Verdruß	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Ärger	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
jetzigen	O	O	O	O	O	O	_	_	_
Verhältnissen	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
gewählt	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
Überzeugung	O	O	O	O	O	O	_	_	_
Übrigens	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
ganze	O	O	O	O	O	O	_	_	_
Arbeitslosigkeit	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Weltkeise	O	O	O	O	O	O	_	_	_
England	B-LOC	O	O	O	O	O	Q21	_	_
hat	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
Millionen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Amerika	B-LOC	O	O	O	O	O	Q30	_	_
schreiben	O	O	O	O	O	O	_	_	_
unsere	O	O	O	O	O	O	_	_	_
Zeitungen	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
68	O	O	O	O	O	O	_	_	_
Millionen	O	O	O	O	O	O	_	_	_
Ford	B-PER	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
München	B-LOC	O	O	O	O	O	Q1726	_	_
und	O	O	O	O	O	O	_	_	_
besucht	O	O	O	O	O	O	_	_	_
Ende	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Woche	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Über	O	O	O	O	O	O	_	_	_
ammergauer	O	O	O	O	O	O	_	_	_
Passionsspiele	O	O	O	O	O	O	_	_	_
Am	O	O	O	O	O	O	_	_	_
14	O	O	O	O	O	O	_	_	_
Sept	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
unsere	O	O	O	O	O	O	_	_	_
Riegersdorfer	O	O	O	O	O	O	_	_	_
Baute	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Appela	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Relatante	B-PER	O	O	O	O	O	_	_	_
gestorben	O	O	O	O	O	O	_	_	_
Hat	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Alter	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
75	O	O	O	O	O	O	_	_	_
Jahren	O	O	O	O	O	O	_	_	_
erreicht	O	O	O	O	O	O	_	_	_
Anbei	O	O	O	O	O	O	_	_	_
fende	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
neuen	O	O	O	O	O	O	_	_	_
Plan	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
PreußischSüddeutschen	O	O	O	O	O	O	_	_	_
Klassenlotterie	O	O	O	O	O	O	_	_	_
Ein	O	O	O	O	O	O	_	_	_
Achtellos	O	O	O	O	O	O	_	_	_
kostet	O	O	O	O	O	O	_	_	_
5	O	O	O	O	O	O	_	_	_
Mark	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
spiele	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
lange	O	O	O	O	O	O	_	_	_
Gewonnen	O	O	O	O	O	O	_	_	_
hab	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
nichts	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
paar	O	O	O	O	O	O	_	_	_
Mart	O	O	O	O	O	O	_	_	_
blieben	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
sonst	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
übrig	O	O	O	O	O	O	_	_	_
Und	O	O	O	O	O	O	_	_	_
einmal	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
kommen	O	O	O	O	O	O	_	_	_
München	B-LOC	O	O	O	O	O	Q1726	_	_
den	O	O	O	O	O	O	_	_	_
23	O	O	O	O	O	O	_	_	_
Sept	O	O	O	O	O	O	_	_	_
1910	O	O	O	O	O	O	_	_	_
Lieber	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Deinen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
beiliegenden	O	O	O	O	O	O	_	_	_
Dollar	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
sage	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
besten	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
gleich	O	O	O	O	O	O	_	_	_
paar	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
warten	O	O	O	O	O	O	_	_	_
ließet	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
erklärlich	O	O	O	O	O	O	_	_	_
So	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
freute	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
deine	O	O	O	O	O	O	_	_	_
Frau	O	O	O	O	O	O	_	_	_
schrieb	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
gefreut	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
dir	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
ab	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
brauchte	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
oft	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
Doch	O	O	O	O	O	O	_	_	_
gleich	O	O	O	O	O	O	_	_	_
paar	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
lange	O	O	O	O	O	O	_	_	_
Meinst	O	O	O	O	O	O	_	_	_
Du	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
