TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
abgeführt	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
denke	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
hausen	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
dafür	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
schützender	O	O	O	O	O	O	_	_	_
Engel	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
Krankheit	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
gekostet	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
gern	O	O	O	O	O	O	_	_	_
gestorben	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Lauf	O	O	O	O	O	O	_	_	_
bahn	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Ende	O	O	O	O	O	O	_	_	_
wer	O	O	O	O	O	O	_	_	_
weiß	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
warten	O	O	O	O	O	O	_	_	_
fut	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
überlassen	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Fragen	O	O	O	O	O	O	_	_	_
dieser	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
weit	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Zwigkeit	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
Inka	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
letzten	O	O	O	O	O	O	_	_	_
Briefe	O	O	O	O	O	O	_	_	_
erfuhr	O	O	O	O	O	O	_	_	_
sollte	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
17	O	O	O	O	O	O	_	_	_
Oktober	O	O	O	O	O	O	_	_	_
Hochzeit	O	O	O	O	O	O	_	_	_
feiern	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
jetz	O	O	O	O	O	O	_	_	_
wissen	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Robert	B-PER	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Brauer	O	O	O	O	O	O	_	_	_
ordentlichen	O	O	O	O	O	O	_	_	_
sche	O	O	O	O	O	O	_	_	_
dass	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
dage	O	O	O	O	O	O	_	_	_
werde	O	O	O	O	O	O	_	_	_
glücklich	O	O	O	O	O	O	_	_	_
zusammen	O	O	O	O	O	O	_	_	_
leben	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
jenem	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
Deiner	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
Gebrach	O	O	O	O	O	O	_	_	_
weil	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
müdlich	O	O	O	O	O	O	_	_	_
gratulieren	O	O	O	O	O	O	_	_	_
könten	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
17	O	O	O	O	O	O	_	_	_
Oktober	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Masse	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Vaterlesen	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
seinen	O	O	O	O	O	O	_	_	_
Segen	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
gegeben	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Zustandenen	O	O	O	O	O	O	_	_	_
Geburtstage	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
lag	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
sterbens	O	O	O	O	O	O	_	_	_
kranken	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
konten	O	O	O	O	O	O	_	_	_
keine	O	O	O	O	O	O	_	_	_
Gratzion	O	O	O	O	O	O	_	_	_
senden	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
Agnes	B-PER	O	O	O	O	O	_	_	_
Messen	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
dich	O	O	O	O	O	O	_	_	_
lesen	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
Altare	O	O	O	O	O	O	_	_	_
gedach	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Masten	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
Agnes	B-PER	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
solle	O	O	O	O	O	O	_	_	_
besorgte	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Inkonenn	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
übel	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
ewig	O	O	O	O	O	O	_	_	_
verkauft	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
arbeiten	O	O	O	O	O	O	_	_	_
kan	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Krankheit	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
Kräfte	O	O	O	O	O	O	_	_	_
genommen	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
wollte	O	O	O	O	O	O	_	_	_
