TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
ich	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
blieben	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
anders	O	O	O	O	O	O	_	_	_
übrig	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
wurden	O	O	O	O	O	O	_	_	_
halt	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Familie	O	O	O	O	O	O	_	_	_
gerechnet	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
würde	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
lange	O	O	O	O	O	O	_	_	_
leben	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
mischen	O	O	O	O	O	O	_	_	_
wegen	O	O	O	O	O	O	_	_	_
Claues	B-PER	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
Berthold	B-PER	O	O	O	O	O	_	_	_
getan	O	O	O	O	O	O	_	_	_
handt	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Herberge	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
Franz	B-PER	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
ihm	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Ant	O	O	O	O	O	O	_	_	_
geteilten	O	O	O	O	O	O	_	_	_
windlich	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
lesen	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Paul	B-PER	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
gleich	O	O	O	O	O	O	_	_	_
heute	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
gefreut	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Gesen	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
Wir	O	O	O	O	O	O	_	_	_
wünschen	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
fürliches	O	O	O	O	O	O	_	_	_
Weihnachschaft	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
viele	O	O	O	O	O	O	_	_	_
Gnaden	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Christ	O	O	O	O	O	O	_	_	_
finden	O	O	O	O	O	O	_	_	_
weil	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
bey	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
schenken	O	O	O	O	O	O	_	_	_
können	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Messe	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Weihnach	O	O	O	O	O	O	_	_	_
bestellt	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Kinder	O	O	O	O	O	O	_	_	_
damit	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Feil	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Seele	O	O	O	O	O	O	_	_	_
beschütze	O	O	O	O	O	O	_	_	_
Langenbruck	B-LOC	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
241	O	O	O	O	O	O	_	_	_
1922	O	O	O	O	O	O	_	_	_
Goht	O	O	O	O	O	O	_	_	_
vielgeliebte	O	O	O	O	O	O	_	_	_
Tochter	O	O	O	O	O	O	_	_	_
Deine	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Briefe	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
sage	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
herzlichen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
dafür	O	O	O	O	O	O	_	_	_
mann	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
übel	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
nichtiges	O	O	O	O	O	O	_	_	_
geschrieben	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
schweige	O	O	O	O	O	O	_	_	_
Krankheit	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
mitgenomen	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
erschreiben	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Joka	B-PER	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
bedanke	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
herzlich	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Paket	O	O	O	O	O	O	_	_	_
welches	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
letzte	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
geschickt	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
Agnes	B-PER	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
gefreut	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Schuhe	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Herschaft	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
läst	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
bedanken	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
