Mutter  B-ORG
Kinder  I-ORG
Jud.  I-ORG
viel  I-ORG
Arbeit  I-ORG
de  I-ORG
del  I-ORG
in  O
der  O
Re¬  O
einen  O
den  O
Scha¬  O
habenn  O
sie  O
das  O
be¬  O
benommen  O
an  O
die  O
Schnur  O
ver¬  O
darin  O
Boller  B-PER
ter  O
per  O
der  O
Koffer  O
ge¬  O
der  O
die  O
so  O
wol  O
meine  O
der  O
Liebe  O
aller  O
in  O
danke  O
die  O
wie¬  O
Tausendmal  O
für  O
den  O
armen  O
Seelen  O
Freund  O
er  O
ist  O
sehr  O
schon  O
aber  O
ich  O
habe  O
noch  O
nicht  O
bezahlt,  O
da¬  O
ich  O
weiß  O
nicht  O
wie  O
viel  O
er  O
koste¬  O
bei  O
so  O
gut  O
um  O
wie  O
ich  O
Tage  O
in  O
Preußi¬  O
damit  O
iches  O
sich  O
de  O

