TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
und	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
beide	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
gehen	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
gütiges	O	O	O	O	O	O	_	_	_
Ur	O	O	O	O	O	O	_	_	_
Zurecht	O	O	O	O	O	O	_	_	_
hinder	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
schicht	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Wege	O	O	O	O	O	O	_	_	_
ebene	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
aufgehen	O	O	O	O	O	O	_	_	_
Sachen	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
nen	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Glück	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Segen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
größte	O	O	O	O	O	O	_	_	_
Glücken	O	O	O	O	O	O	_	_	_
Besitz	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Straf	O	O	O	O	O	O	_	_	_
teil	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
damit	O	O	O	O	O	O	_	_	_
ihre	O	O	O	O	O	O	_	_	_
Ehe	O	O	O	O	O	O	_	_	_
fen	O	O	O	O	O	O	_	_	_
sondern	O	O	O	O	O	O	_	_	_
gemeßen	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Zufriedenheit	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
glückliche	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
reich	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
zugewiesen	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
gegnete	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
Möchten	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
aufbahren	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
gerne	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
Ungewaches	O	O	O	O	O	O	_	_	_
Lebens	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Himmel	O	O	O	O	O	O	_	_	_
versagt	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Kummer	O	O	O	O	O	O	_	_	_
Sorgenkrankheit	O	O	O	O	O	O	_	_	_
grüsste	O	O	O	O	O	O	_	_	_
Glück	O	O	O	O	O	O	_	_	_
wohnt	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
gefrieder	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
anderen	O	O	O	O	O	O	_	_	_
Nachterli	O	O	O	O	O	O	_	_	_
wert	O	O	O	O	O	O	_	_	_
gen	O	O	O	O	O	O	_	_	_
glücklich	O	O	O	O	O	O	_	_	_
verschont	O	O	O	O	O	O	_	_	_
bleiben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Deutschland	B-LOC	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
dagegen	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Sonne	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
solchen	O	O	O	O	O	O	_	_	_
traurigen	O	O	O	O	O	O	_	_	_
Verhältniß	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Paßower	O	O	O	O	O	O	_	_	_
Vieles	O	O	O	O	O	O	_	_	_
entbehren	O	O	O	O	O	O	_	_	_
Glücks	O	O	O	O	O	O	_	_	_
Ihren	O	O	O	O	O	O	_	_	_
Lebensweg	O	O	O	O	O	O	_	_	_
beschei	O	O	O	O	O	O	_	_	_
müssen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
unser	O	O	O	O	O	O	_	_	_
Win	O	O	O	O	O	O	_	_	_
nen	O	O	O	O	O	O	_	_	_
anderselben	O	O	O	O	O	O	_	_	_
Alles	O	O	O	O	O	O	_	_	_
dieses	O	O	O	O	O	O	_	_	_
sehe	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
einschränken	O	O	O	O	O	O	_	_	_
müssen	O	O	O	O	O	O	_	_	_
wünsche	O	O	O	O	O	O	_	_	_
ihnen	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
ganzem	O	O	O	O	O	O	_	_	_
Wenn	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
solches	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Herzen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
wolle	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Woraus	O	O	O	O	O	O	_	_	_
gesagt	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
diesen	O	O	O	O	O	O	_	_	_
wünschen	O	O	O	O	O	O	_	_	_
seine	O	O	O	O	O	O	_	_	_
Er	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
einfach	O	O	O	O	O	O	_	_	_
gesagt	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Ma	O	O	O	O	O	O	_	_	_
füllung	O	O	O	O	O	O	_	_	_
geben	O	O	O	O	O	O	_	_	_
unmöglich	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
Uns	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Gelegenheit	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
erlebt	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
nachmitten	O	O	O	O	O	O	_	_	_
teil	O	O	O	O	O	O	_	_	_
geworden	O	O	O	O	O	O	_	_	_
ihren	O	O	O	O	O	O	_	_	_
Herrn	O	O	O	O	O	O	_	_	_
Ge	B-PER	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
diesem	O	O	O	O	O	O	_	_	_
Elende	O	O	O	O	O	O	_	_	_
stelen	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
mahl	O	O	O	O	O	O	_	_	_
kennen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
lernen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
zuver	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
sagen	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
chen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
heufen	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Tag	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
guten	O	O	O	O	O	O	_	_	_
