TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Gagern,	O	O	O	O	O	O	_	_	_
d.	O	O	O	O	O	O	_	_	_
4.	O	O	O	O	O	O	_	_	_
Juni	O	O	O	O	O	O	_	_	_
1910.	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Schwester	O	O	O	O	O	O	_	_	_
u.	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
mein	O	O	O	O	O	O	_	_	_
Liebe¬	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
erhalten,	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
daraus	O	O	O	O	O	O	_	_	_
ersehen,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
Du	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
gesundheit.	O	O	O	O	O	O	_	_	_
Wir	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
lob	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
unten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wünschten	O	O	O	O	O	O	_	_	_
blos	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
blutige	O	O	O	O	O	O	_	_	_
Krieg	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Ende.	O	O	O	O	O	O	_	_	_
Vor	O	O	O	O	O	O	_	_	_
einigen	O	O	O	O	O	O	_	_	_
Monaten	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
März	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
Rosina	B-PER	O	O	O	O	O	_	_	_
Josef	I-PER	O	O	O	O	O	_	_	_
vom	O	O	O	O	O	O	_	_	_
Onkel	O	O	O	O	O	O	_	_	_
August	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Frankreich	B-LOC	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
2	O	O	O	O	O	O	_	_	_
tägigen	O	O	O	O	O	O	_	_	_
Schweren	O	O	O	O	O	O	_	_	_
verwundung	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Heldent	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
König	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Vaterland	O	O	O	O	O	O	_	_	_
ge¬	O	O	O	O	O	O	_	_	_
storben,	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
verheiratet.	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Thekla	B-PER	O	O	O	O	O	_	_	_
Du	I-PER	O	O	O	O	O	_	_	_
selbst	O	O	O	O	O	O	_	_	_
Annen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Ma¬	B-PER	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
vorbereiten,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
gleich	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
erschenken	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Richard	B-PER	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
23	O	O	O	O	O	O	_	_	_
Mar	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
