TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
43	O	O	O	O	O	O	_	_	_
Langenbrück	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
2212	O	O	O	O	O	O	_	_	_
weiter	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Berne	B-LOC	O	O	O	O	O	Q1779942	_	_
das	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ihm	O	O	O	O	O	O	_	_	_
wiederhalt	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
fleißig	O	O	O	O	O	O	_	_	_
Geliebte	O	O	O	O	O	O	_	_	_
Kinder	O	O	O	O	O	O	_	_	_
beten	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
Lieber	O	O	O	O	O	O	_	_	_
Paul	B-PER	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Barnst	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Winter	O	O	O	O	O	O	_	_	_
nen	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
frühren	O	O	O	O	O	O	_	_	_
müssen	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
hatten	O	O	O	O	O	O	_	_	_
Scheck	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
Feuerung	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Winter	O	O	O	O	O	O	_	_	_
könnt	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
sagen	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
unsern	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
vorstellen	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
vergelt	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
Hauptsächlich	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
Feuer	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
ganzen	O	O	O	O	O	O	_	_	_
Tag	O	O	O	O	O	O	_	_	_
brauch	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Haar	O	O	O	O	O	O	_	_	_
Kaplan	B-PER	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
müsten	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
führen	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
gefreut	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
läßt	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
macht	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
keine	O	O	O	O	O	O	_	_	_
Sorgen	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
tausendfaches	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
vorgelt	O	O	O	O	O	O	_	_	_
Wenn	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
sagen	O	O	O	O	O	O	_	_	_
