TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
soll	O	O	O	O	O	O	_	_	_
Zur	O	O	O	O	O	O	_	_	_
hl	O	O	O	O	O	O	_	_	_
Kommunion	O	O	O	O	O	O	_	_	_
gehen	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
ganze	O	O	O	O	O	O	_	_	_
Anzahl	O	O	O	O	O	O	_	_	_
täglich	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
fast	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
Frauen	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Männer	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
allem	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
jungen	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Knaben	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
selten	O	O	O	O	O	O	_	_	_
Es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
schön	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
drüben	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
neuen	O	O	O	O	O	O	_	_	_
Welt	O	O	O	O	O	O	_	_	_
damit	O	O	O	O	O	O	_	_	_
besser	O	O	O	O	O	O	_	_	_
bestellt	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
Da	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Bekanntschaft	O	O	O	O	O	O	_	_	_
machen	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
solch	O	O	O	O	O	O	_	_	_
sammen	O	O	O	O	O	O	_	_	_
jungen	O	O	O	O	O	O	_	_	_
Manne	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
bezeiten	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Frl	O	O	O	O	O	O	_	_	_
Thekla	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Frau	O	O	O	O	O	O	_	_	_
Thekla	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
laßen	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
hören	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
entressieren	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
jahr	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
Ihr	O	O	O	O	O	O	_	_	_
Schicksal	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
dortigen	O	O	O	O	O	O	_	_	_
Verhältniße	O	O	O	O	O	O	_	_	_
Nun	O	O	O	O	O	O	_	_	_
wünsche	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
zugleich	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Namen	O	O	O	O	O	O	_	_	_
meiner	O	O	O	O	O	O	_	_	_
Angehörigen	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
recht	O	O	O	O	O	O	_	_	_
frohes	O	O	O	O	O	O	_	_	_
sagend	O	O	O	O	O	O	_	_	_
reiches	O	O	O	O	O	O	_	_	_
Osterfehl	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
verbleibe	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
herzlicher	O	O	O	O	O	O	_	_	_
Größen	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
Ihre	O	O	O	O	O	O	_	_	_
Marsante	O	O	O	O	O	O	_	_	_
Rudolph	O	O	O	O	O	O	_	_	_
Neustadt	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
2331912	O	O	O	O	O	O	_	_	_
Lieber	B-OTH	O	O	O	O	O	http://www.wikidata.org/entity/Q1470283	_	_
Fräulein	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
hätten	O	O	O	O	O	O	_	_	_
gern	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Brief	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
unserer	O	O	O	O	O	O	_	_	_
Manne	O	O	O	O	O	O	_	_	_
gehabt	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
jedoch	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
älteren	O	O	O	O	O	O	_	_	_
