TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
und	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Portograrien	O	O	O	O	O	O	_	_	_
gerade	O	O	O	O	O	O	_	_	_
trafen	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Geburtstage	O	O	O	O	O	O	_	_	_
ein,	O	O	O	O	O	O	_	_	_
worüber	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
freute	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Teil	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Heimwehr	B-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
hast	I-OTH	O	O	O	O	O	_	_	_
du	I-OTH	O	O	O	O	O	_	_	_
doch	I-OTH	O	O	O	O	O	_	_	_
jetzt	I-OTH	O	O	O	O	O	_	_	_
vergessen	I-OTH	O	O	O	O	O	_	_	_
hätte	I-OTH	O	O	O	O	O	_	_	_
mir	I-OTH	O	O	O	O	O	_	_	_
fleisig	I-OTH	O	O	O	O	O	_	_	_
zum	I-OTH	O	O	O	O	O	_	_	_
lieben	I-OTH	O	O	O	O	O	_	_	_
Gott	I-OTH	O	O	O	O	O	_	_	_
der	I-OTH	O	O	O	O	O	_	_	_
wird	I-OTH	O	O	O	O	O	_	_	_
dich	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
deinen	I-OTH	O	O	O	O	O	_	_	_
Briefe	I-OTH	O	O	O	O	O	_	_	_
erken	I-OTH	O	O	O	O	O	_	_	_
wier	I-OTH	O	O	O	O	O	_	_	_
hatten	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
zweite	O	O	O	O	O	O	_	_	_
Der	O	O	O	O	O	O	_	_	_
Besuch	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Steffamstage	O	O	O	O	O	O	_	_	_
wahr¬	O	O	O	O	O	O	_	_	_
tochter	O	O	O	O	O	O	_	_	_
Mai	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Hedwig	B-PER	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
Neustad¬	B-LOC	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Kindern	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Josef	B-PER	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
seine	O	O	O	O	O	O	_	_	_
Famlichen,	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
hatten	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Große	O	O	O	O	O	O	_	_	_
wurf	O	O	O	O	O	O	_	_	_
verzehrt,	B-OTH	O	O	O	O	O	_	_	_
da	I-OTH	O	O	O	O	O	_	_	_
sagte	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
was	I-OTH	O	O	O	O	O	_	_	_
werden	I-OTH	O	O	O	O	O	_	_	_
meine	I-OTH	O	O	O	O	O	_	_	_
lieben	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
Amerik	I-OTH	O	O	O	O	O	_	_	_
machen	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
beiden	I-OTH	O	O	O	O	O	_	_	_
Töchter	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
Klestern	I-OTH	O	O	O	O	O	_	_	_
Liebe	I-OTH	O	O	O	O	O	_	_	_
Toch¬	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
schließenen	I-OTH	O	O	O	O	O	_	_	_
Schreiben	I-OTH	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
vielen	O	O	O	O	O	O	_	_	_
herzlichen	O	O	O	O	O	O	_	_	_
Grüßen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
diesen	O	O	O	O	O	O	_	_	_
verbleibe	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Lieber	O	O	O	O	O	O	_	_	_
Vater	O	O	O	O	O	O	_	_	_
