TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Neustadt.	B-LOC	O	O	O	O	O	_	_	_
Schles,	I-LOC	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
3.	O	O	O	O	O	O	_	_	_
September	O	O	O	O	O	O	_	_	_
1912.	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
bleibt	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
Sonntag	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Thekla	O	O	O	O	O	O	_	_	_
hier	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
führt	O	O	O	O	O	O	_	_	_
Montag	O	O	O	O	O	O	_	_	_
füh¬	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
fein.	O	O	O	O	O	O	_	_	_
Andenken	O	O	O	O	O	O	_	_	_
Obwohl	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
oft	O	O	O	O	O	O	_	_	_
daran	O	O	O	O	O	O	_	_	_
erinnert	O	O	O	O	O	O	_	_	_
habe,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
Alles	O	O	O	O	O	O	_	_	_
gut¬	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
abgewickelt,	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
aufschreiben	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
tief	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
ihrer	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
kommt	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
weder	O	O	O	O	O	O	_	_	_
Schuld	O	O	O	O	O	O	_	_	_
stehe,	O	O	O	O	O	O	_	_	_
bin	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
bisher	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
