TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Berlin	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
10	O	O	O	O	O	O	_	_	_
Nov	O	O	O	O	O	O	_	_	_
1820	O	O	O	O	O	O	_	_	_
Meine	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
kein	O	O	O	O	O	O	_	_	_
Braut	B-OTH	O	O	O	O	O	_	_	_
Voller	I-OTH	O	O	O	O	O	_	_	_
Sehnsucht	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
Besorgniß	I-OTH	O	O	O	O	O	_	_	_
schreibe	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
heute	I-OTH	O	O	O	O	O	_	_	_
da	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
nun	I-OTH	O	O	O	O	O	_	_	_
schon	I-OTH	O	O	O	O	O	_	_	_
mehrere	I-OTH	O	O	O	O	O	_	_	_
Wochen	I-OTH	O	O	O	O	O	_	_	_
ohne	I-OTH	O	O	O	O	O	_	_	_
jede	I-OTH	O	O	O	O	O	_	_	_
Nachricht	I-OTH	O	O	O	O	O	_	_	_
von	I-OTH	O	O	O	O	O	_	_	_
dir	I-OTH	O	O	O	O	O	_	_	_
bin	I-OTH	O	O	O	O	O	_	_	_
Bist	I-OTH	O	O	O	O	O	_	_	_
du	I-OTH	O	O	O	O	O	_	_	_
vieleicht	I-OTH	O	O	O	O	O	_	_	_
krank	I-OTH	O	O	O	O	O	_	_	_
oder	I-OTH	O	O	O	O	O	_	_	_
hast	I-OTH	O	O	O	O	O	_	_	_
du	I-OTH	O	O	O	O	O	_	_	_
sonst	I-OTH	O	O	O	O	O	_	_	_
ein	I-OTH	O	O	O	O	O	_	_	_
Anliegen	I-OTH	O	O	O	O	O	_	_	_
was	I-OTH	O	O	O	O	O	_	_	_
Dich	I-OTH	O	O	O	O	O	_	_	_
kränkt	I-OTH	O	O	O	O	O	_	_	_
oder	I-OTH	O	O	O	O	O	_	_	_
hatt	I-OTH	O	O	O	O	O	_	_	_
dir	I-OTH	O	O	O	O	O	_	_	_
mein	I-OTH	O	O	O	O	O	_	_	_
letzter	I-OTH	O	O	O	O	O	_	_	_
sich	I-OTH	O	O	O	O	O	_	_	_
nicht	I-OTH	O	O	O	O	O	_	_	_
gefallen	I-OTH	O	O	O	O	O	_	_	_
Ich	I-OTH	O	O	O	O	O	_	_	_
werde	I-OTH	O	O	O	O	O	_	_	_
ja	I-OTH	O	O	O	O	O	_	_	_
besser	I-OTH	O	O	O	O	O	_	_	_
schreiben	I-OTH	O	O	O	O	O	_	_	_
Nur	I-OTH	O	O	O	O	O	_	_	_
laß	I-OTH	O	O	O	O	O	_	_	_
bald	I-OTH	O	O	O	O	O	_	_	_
was	I-OTH	O	O	O	O	O	_	_	_
hören	I-OTH	O	O	O	O	O	_	_	_
denn	I-OTH	O	O	O	O	O	_	_	_
diese	I-OTH	O	O	O	O	O	_	_	_
Ungewißheit	I-OTH	O	O	O	O	O	_	_	_
macht	I-OTH	O	O	O	O	O	_	_	_
mich	I-OTH	O	O	O	O	O	_	_	_
fast	I-OTH	O	O	O	O	O	_	_	_
krank	I-OTH	O	O	O	O	O	_	_	_
Dich	I-OTH	O	O	O	O	O	_	_	_
liebes	I-OTH	O	O	O	O	O	_	_	_
Herz	I-OTH	O	O	O	O	O	_	_	_
zu	I-OTH	O	O	O	O	O	_	_	_
verlin	I-OTH	O	O	O	O	O	_	_	_
würde	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
nicht	I-OTH	O	O	O	O	O	_	_	_
über	I-OTH	O	O	O	O	O	_	_	_
leben	I-OTH	O	O	O	O	O	_	_	_
Du	I-OTH	O	O	O	O	O	_	_	_
schriebst	I-OTH	O	O	O	O	O	_	_	_
mir	I-OTH	O	O	O	O	O	_	_	_
