TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
die	O	O	O	O	O	O	_	_	_
Angehörigen	O	O	O	O	O	O	_	_	_
müsten	O	O	O	O	O	O	_	_	_
daher	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Stadt	O	O	O	O	O	O	_	_	_
Jahren	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
Einkaufe	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Begräbniß	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
besorgen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Gelegenheit	O	O	O	O	O	O	_	_	_
benutzte	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
kam	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
gefahren	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
besuchen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
unser	O	O	O	O	O	O	_	_	_
kleiner	O	O	O	O	O	O	_	_	_
Joseph	B-PER	O	O	O	O	O	_	_	_
grave	O	O	O	O	O	O	_	_	_
seinen	O	O	O	O	O	O	_	_	_
Geburts	O	O	O	O	O	O	_	_	_
tag	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
bracht	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Nachflu	O	O	O	O	O	O	_	_	_
gen	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Äpfel	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
große	O	O	O	O	O	O	_	_	_
Frau	O	O	O	O	O	O	_	_	_
dafür	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Geburtstags	O	O	O	O	O	O	_	_	_
Kind	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
Te	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
schreibst	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Hadel	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Hälfte	O	O	O	O	O	O	_	_	_
vom	O	O	O	O	O	O	_	_	_
Hause	O	O	O	O	O	O	_	_	_
kauft	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
andere	O	O	O	O	O	O	_	_	_
Hälfte	O	O	O	O	O	O	_	_	_
stielt	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
wirklich	O	O	O	O	O	O	_	_	_
nichts	O	O	O	O	O	O	_	_	_
daneben	O	O	O	O	O	O	_	_	_
gesagt	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Schwager	O	O	O	O	O	O	_	_	_
weidenreich	O	O	O	O	O	O	_	_	_
fühlen	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
als	O	O	O	O	O	O	_	_	_
Besitzer	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Ganzen	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
