TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Berlin	I-OTH	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
10	O	O	O	O	O	O	_	_	_
Nov	O	O	O	O	O	O	_	_	_
1880	O	O	O	O	O	O	_	_	_
Meine	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Kleine	O	O	O	O	O	O	_	_	_
Braut	B-OTH	O	O	O	O	O	_	_	_
Voller	I-OTH	O	O	O	O	O	_	_	_
Sehnsucht	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
Besorgniß	I-OTH	O	O	O	O	O	_	_	_
schreibe	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
heute	I-OTH	O	O	O	O	O	_	_	_
da	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
nun	I-OTH	O	O	O	O	O	_	_	_
schon	I-OTH	O	O	O	O	O	_	_	_
mehrere	I-OTH	O	O	O	O	O	_	_	_
Wochen	I-OTH	O	O	O	O	O	_	_	_
ohne	I-OTH	O	O	O	O	O	_	_	_
jede	I-OTH	O	O	O	O	O	_	_	_
Nachricht	I-OTH	O	O	O	O	O	_	_	_
von	I-OTH	O	O	O	O	O	_	_	_
Dir	I-OTH	O	O	O	O	O	_	_	_
bin	I-OTH	O	O	O	O	O	_	_	_
ist	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
vieleicht	I-OTH	O	O	O	O	O	_	_	_
krank	I-OTH	O	O	O	O	O	_	_	_
oder	I-OTH	O	O	O	O	O	_	_	_
hast	I-OTH	O	O	O	O	O	_	_	_
Du	I-OTH	O	O	O	O	O	_	_	_
sonst	I-OTH	O	O	O	O	O	_	_	_
ein	I-OTH	O	O	O	O	O	_	_	_
Anliegen	I-OTH	O	O	O	O	O	_	_	_
was	I-OTH	O	O	O	O	O	_	_	_
dich	I-OTH	O	O	O	O	O	_	_	_
kränkt	I-OTH	O	O	O	O	O	_	_	_
oder	I-OTH	O	O	O	O	O	_	_	_
hatt	I-OTH	O	O	O	O	O	_	_	_
dir	I-OTH	O	O	O	O	O	_	_	_
mein	I-OTH	O	O	O	O	O	_	_	_
letzter	I-OTH	O	O	O	O	O	_	_	_
et	I-OTH	O	O	O	O	O	_	_	_
nicht	I-OTH	O	O	O	O	O	_	_	_
gehalten	I-OTH	O	O	O	O	O	_	_	_
Schwerden	I-OTH	O	O	O	O	O	_	_	_
besser	I-OTH	O	O	O	O	O	_	_	_
schreiben	I-OTH	O	O	O	O	O	_	_	_
Nur	I-OTH	O	O	O	O	O	_	_	_
laß	I-OTH	O	O	O	O	O	_	_	_
bald	I-OTH	O	O	O	O	O	_	_	_
was	I-OTH	O	O	O	O	O	_	_	_
hören	I-OTH	O	O	O	O	O	_	_	_
denn	I-OTH	O	O	O	O	O	_	_	_
diese	I-OTH	O	O	O	O	O	_	_	_
Ungewißheit	I-OTH	O	O	O	O	O	_	_	_
macht	I-OTH	O	O	O	O	O	_	_	_
mich	I-OTH	O	O	O	O	O	_	_	_
fast	I-OTH	O	O	O	O	O	_	_	_
krank	I-OTH	O	O	O	O	O	_	_	_
Dich	I-OTH	O	O	O	O	O	_	_	_
liebes	I-OTH	O	O	O	O	O	_	_	_
Herz	I-OTH	O	O	O	O	O	_	_	_
zu	I-OTH	O	O	O	O	O	_	_	_
vermen	I-OTH	O	O	O	O	O	_	_	_
würde	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
nicht	I-OTH	O	O	O	O	O	_	_	_
über	I-OTH	O	O	O	O	O	_	_	_
leben	I-OTH	O	O	O	O	O	_	_	_
Du	I-OTH	O	O	O	O	O	_	_	_
schriebst	I-OTH	O	O	O	O	O	_	_	_
nur	I-OTH	O	O	O	O	O	_	_	_
im	I-OTH	O	O	O	O	O	_	_	_
letzten	I-OTH	O	O	O	O	O	_	_	_
Briefe	I-OTH	O	O	O	O	O	_	_	_
doch	I-OTH	O	O	O	O	O	_	_	_
so	I-OTH	O	O	O	O	O	_	_	_
schön	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
liebe	I-OTH	O	O	O	O	O	_	_	_
voll	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
geant	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Zeilen	O	O	O	O	O	O	_	_	_
Ausschen	O	O	O	O	O	O	_	_	_
schickte	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
vorige	O	O	O	O	O	O	_	_	_
Woche	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Körbchen	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
Obst	B-OTH	O	O	O	O	O	_	_	_
Brot	I-OTH	O	O	O	O	O	_	_	_
und	I-OTH	O	O	O	O	O	_	_	_
Butter	I-OTH	O	O	O	O	O	_	_	_
was	I-OTH	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
gefreut	O	O	O	O	O	O	_	_	_
hatt	B-OTH	O	O	O	O	O	_	_	_
Mutter	I-OTH	O	O	O	O	O	_	_	_
ist	I-OTH	O	O	O	O	O	_	_	_
so	I-OTH	O	O	O	O	O	_	_	_
gut	I-OTH	O	O	O	O	O	_	_	_
zu	I-OTH	O	O	O	O	O	_	_	_
mir	I-OTH	O	O	O	O	O	_	_	_
wie	I-OTH	O	O	O	O	O	_	_	_
wenn	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
Uhr	I-OTH	O	O	O	O	O	_	_	_
Sohn	I-OTH	O	O	O	O	O	_	_	_
wäre	I-OTH	O	O	O	O	O	_	_	_
Auch	I-OTH	O	O	O	O	O	_	_	_
hatt	I-OTH	O	O	O	O	O	_	_	_
sie	I-OTH	O	O	O	O	O	_	_	_
mir	I-OTH	O	O	O	O	O	_	_	_
einen	I-OTH	O	O	O	O	O	_	_	_
schönen	I-OTH	O	O	O	O	O	_	_	_
Brief	I-OTH	O	O	O	O	O	_	_	_
geschrieben	I-OTH	O	O	O	O	O	_	_	_
Wie	I-OTH	O	O	O	O	O	_	_	_
geht	I-OTH	O	O	O	O	O	_	_	_
es	I-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
liebe	I-OTH	O	O	O	O	O	_	_	_
Theor	I-OTH	O	O	O	O	O	_	_	_
Der	O	O	O	O	O	O	_	_	_
neue	O	O	O	O	O	O	_	_	_
Präsident	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Amerika	B-LOC	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Frieden	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
deutschland	O	O	O	O	O	O	_	_	_
schließen	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
glaub	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
nächsten	O	O	O	O	O	O	_	_	_
Frühjahr	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Tag	O	O	O	O	O	O	_	_	_
gar	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
erwarten	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
liebes	O	O	O	O	O	O	_	_	_
Herz	O	O	O	O	O	O	_	_	_
bis	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
dich	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
meinen	O	O	O	O	O	O	_	_	_
Armen	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
Dann	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
Das	O	O	O	O	O	O	_	_	_
Leben	O	O	O	O	O	O	_	_	_
uns	O	O	O	O	O	O	_	_	_
erschwert	O	O	O	O	O	O	_	_	_
vergessen	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
neuen	O	O	O	O	O	O	_	_	_
Glücklichen	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
wollen	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
entgegen	O	O	O	O	O	O	_	_	_
gehen	O	O	O	O	O	O	_	_	_
Der	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
goldene	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
