TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Langenheit	B-OTH	O	O	O	O	O	Q3826887	_	_
d	O	O	O	O	O	O	_	_	_
29	O	O	O	O	O	O	_	_	_
Juni	O	O	O	O	O	O	_	_	_
1	O	O	O	O	O	O	_	_	_
91	O	O	O	O	O	O	_	_	_
Liebe	B-OTH	O	O	O	O	O	Q1470283	_	_
Schwester	B-OTH	O	O	O	O	O	Q7531379	_	_
u	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
mein	O	O	O	O	O	O	_	_	_
Lieben	B-OTH	O	O	O	O	O	Q1470283	_	_
Deinen	O	O	O	O	O	O	_	_	_
Brief	B-OTH	O	O	O	O	O	Q193411	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
daraus	O	O	O	O	O	O	_	_	_
ersehen	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
seit	O	O	O	O	O	O	_	_	_
Wir	B-OTH	O	O	O	O	O	Q7997989	_	_
sind	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
au	O	O	O	O	O	O	_	_	_
Gott	B-OTH	O	O	O	O	O	Q190	_	_
lob	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
gesund	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
munten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wünschten	O	O	O	O	O	O	_	_	_
blos	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
blutige	O	O	O	O	O	O	_	_	_
Krieg	B-OTH	O	O	O	O	O	Q1756073	_	_
hätte	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Ende	B-OTH	O	O	O	O	O	Q185985	_	_
Vor	B-OTH	O	O	O	O	O	Q12644643	_	_
einigen	O	O	O	O	O	O	_	_	_
Monaten	B-OTH	O	O	O	O	O	Q1932580	_	_
im	O	O	O	O	O	O	_	_	_
März	B-OTH	O	O	O	O	O	Q1760222	_	_
ist	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
Rosen	B-PER	O	O	O	O	O	_	_	_
Hofe	O	O	O	O	O	O	_	_	_
vom	O	O	O	O	O	O	_	_	_
Onkel	B-OTH	O	O	O	O	O	Q1133342	_	_
August	B-PER	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Frankreich	B-LOC	O	O	O	O	O	Q142	_	_
nach	O	O	O	O	O	O	_	_	_
8	O	O	O	O	O	O	_	_	_
tägigen	O	O	O	O	O	O	_	_	_
weren	O	O	O	O	O	O	_	_	_
verwundung	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
4	O	O	O	O	O	O	_	_	_
Halden	B-OTH	O	O	O	O	O	Q1516873	_	_
tot	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
König	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Vaterland	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
storben	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
verheiratet	O	O	O	O	O	O	_	_	_
Lin	B-OTH	O	O	O	O	O	Q468895	_	_
Thekla	B-OTH	O	O	O	O	O	Q745955	_	_
Du	O	O	O	O	O	O	_	_	_
sollst	O	O	O	O	O	O	_	_	_
Anna	B-OTH	O	O	O	O	O	Q25392443	_	_
und	O	O	O	O	O	O	_	_	_
Marti	B-PER	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
vorbereiten	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
gl	O	O	O	O	O	O	_	_	_
i	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
erschrecken	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
Bruder	B-OTH	O	O	O	O	O	Q992241	_	_
Richard	B-PER	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
23	O	O	O	O	O	O	_	_	_
M	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
vermißt	O	O	O	O	O	O	_	_	_
