TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Pritzburgk	I-OTH	O	O	O	O	O	_	_	_
den	I-OTH	O	O	O	O	O	_	_	_
2.	I-OTH	O	O	O	O	O	_	_	_
April	I-OTH	O	O	O	O	O	_	_	_
1.	I-OTH	O	O	O	O	O	_	_	_
fertig,	I-OTH	O	O	O	O	O	_	_	_
letzten	I-OTH	O	O	O	O	O	_	_	_
Abend,	I-OTH	O	O	O	O	O	_	_	_
wenn	I-OTH	O	O	O	O	O	_	_	_
ich	I-OTH	O	O	O	O	O	_	_	_
heimkam,	I-OTH	O	O	O	O	O	_	_	_
war	I-OTH	O	O	O	O	O	_	_	_
das	I-OTH	O	O	O	O	O	_	_	_
Zin¬	I-OTH	O	O	O	O	O	_	_	_
Meine	I-OTH	O	O	O	O	O	_	_	_
liebe	I-OTH	O	O	O	O	O	_	_	_
gute	I-OTH	O	O	O	O	O	_	_	_
Tekla¬	I-OTH	O	O	O	O	O	_	_	_
mälchen	I-OTH	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
geschie¬	O	O	O	O	O	O	_	_	_
vielen	O	O	O	O	O	O	_	_	_
herzlichen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
besuch	O	O	O	O	O	O	_	_	_
dort	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
schönes	O	O	O	O	O	O	_	_	_
Geschenk	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Engel¬	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
10-11	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
vielen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
schöne	O	O	O	O	O	O	_	_	_
Uhr	O	O	O	O	O	O	_	_	_
Mich	O	O	O	O	O	O	_	_	_
wunderts,	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
wa¬	O	O	O	O	O	O	_	_	_
Kissen,	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
sicher	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
wählte	O	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Hause	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
gute	O	O	O	O	O	O	_	_	_
Freunde	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
ren	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
auskom¬	O	O	O	O	O	O	_	_	_
wo	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Tekla	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Ist	O	O	O	O	O	O	_	_	_
August	O	O	O	O	O	O	_	_	_
zufrieden	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
seiner	O	O	O	O	O	O	_	_	_
Ostern	O	O	O	O	O	O	_	_	_
verbracht	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
dabei	O	O	O	O	O	O	_	_	_
seltenen	O	O	O	O	O	O	_	_	_
Zähmen,	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
fuhre	O	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
Geschwistern	O	O	O	O	O	O	_	_	_
