TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Mein	O	O	O	O	O	O	_	_	_
Herr	O	O	O	O	O	O	_	_	_
Verzeihens	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
kann	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
dichten	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
so	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
können	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
verstehen	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
lassen	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
sollten	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Dichter	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Kollegen	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
sehen	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
würde	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
Sonne	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
zarten	O	O	O	O	O	O	_	_	_
Küste	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
wehen	O	O	O	O	O	O	_	_	_
ins	O	O	O	O	O	O	_	_	_
menschliche	O	O	O	O	O	O	_	_	_
Dasein	O	O	O	O	O	O	_	_	_
hinein	O	O	O	O	O	O	_	_	_
Man	O	O	O	O	O	O	_	_	_
schwebt	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
höheren	O	O	O	O	O	O	_	_	_
Regionen	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Erde	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
furcht	O	O	O	O	O	O	_	_	_
zurück	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
Sterne	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Millionen	O	O	O	O	O	O	_	_	_
hingehen	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Himmel	B-OTH	O	O	O	O	O	Q4489450	_	_
Zonen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Augenblick	O	O	O	O	O	O	_	_	_
