TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
mal	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Himmel	B-OTH	O	O	O	O	O	_	_	_
wiedersehen	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
unser	O	O	O	O	O	O	_	_	_
guter	O	O	O	O	O	O	_	_	_
Vater	B-PER	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
schweren	O	O	O	O	O	O	_	_	_
Zeiten	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
mehr	O	O	O	O	O	O	_	_	_
erlebt	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
Mutter	B-PER	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
sicher	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
gestorben	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
ganzen	O	O	O	O	O	O	_	_	_
Kräfte	O	O	O	O	O	O	_	_	_
eingesetzt	O	O	O	O	O	O	_	_	_
hätte	O	O	O	O	O	O	_	_	_
Nun	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
schließen	O	O	O	O	O	O	_	_	_
indem	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
einmal	O	O	O	O	O	O	_	_	_
herzlich	O	O	O	O	O	O	_	_	_
Gott	B-PER	O	O	O	O	O	_	_	_
vergalts	O	O	O	O	O	O	_	_	_
sage	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
herzliche	O	O	O	O	O	O	_	_	_
Grüße	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Franz	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Familie	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
klar	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Robert	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Bruder	B-PER	O	O	O	O	O	_	_	_
August	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
kleine	O	O	O	O	O	O	_	_	_
zukünftige	O	O	O	O	O	O	_	_	_
Schwäger	B-PER	O	O	O	O	O	_	_	_
sowie	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
dich	O	O	O	O	O	O	_	_	_
lieber	O	O	O	O	O	O	_	_	_
Bruder	O	O	O	O	O	O	_	_	_
Paul	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Schwägerin	O	O	O	O	O	O	_	_	_
Marte	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Kinder	B-PER	O	O	O	O	O	_	_	_
chen	I-PER	O	O	O	O	O	_	_	_
Indem	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Euch	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Gristkindlein	B-OTH	O	O	O	O	O	_	_	_
empfehle	O	O	O	O	O	O	_	_	_
verbleibe	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
dankbare	O	O	O	O	O	O	_	_	_
Schwester	O	O	O	O	O	O	_	_	_
Schwägerin	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Tante	B-PER	O	O	O	O	O	_	_	_
Fortunata	I-PER	O	O	O	O	O	_	_	_
Bitte	O	O	O	O	O	O	_	_	_
schreibt	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
wieder	O	O	O	O	O	O	_	_	_
mal	O	O	O	O	O	O	_	_	_
Herzliche	O	O	O	O	O	O	_	_	_
Grüße	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Mit	O	O	O	O	O	O	_	_	_
schwester	O	O	O	O	O	O	_	_	_
Philothe	B-PER	O	O	O	O	O	_	_	_
Strelitz	B-LOC	O	O	O	O	O	_	_	_
d	O	O	O	O	O	O	_	_	_
14	O	O	O	O	O	O	_	_	_
12	O	O	O	O	O	O	_	_	_
1929	O	O	O	O	O	O	_	_	_
G	O	O	O	O	O	O	_	_	_
P	O	O	O	O	O	O	_	_	_
3	O	O	O	O	O	O	_	_	_
T	O	O	O	O	O	O	_	_	_
Meine	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
