TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
und	O	O	O	O	O	O	_	_	_
einheit	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Mai	O	O	O	O	O	O	_	_	_
zuhal	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
halt	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
mußen	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
wegen	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
scheinen	O	O	O	O	O	O	_	_	_
Groschen	O	O	O	O	O	O	_	_	_
gegen	O	O	O	O	O	O	_	_	_
bekant	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Hanshagen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Gott	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
gemachte	O	O	O	O	O	O	_	_	_
gen	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
fa	O	O	O	O	O	O	_	_	_
angetragen	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
hatten	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
einkommen	O	O	O	O	O	O	_	_	_
fur	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Sache	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
ganz	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
massen	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
ter	O	O	O	O	O	O	_	_	_
hof	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
deland	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
leiben	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
allen	O	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Schalt	B-OTH	O	O	O	O	O	_	_	_
die	I-OTH	O	O	O	O	O	_	_	_
Bekandt	I-OTH	O	O	O	O	O	_	_	_
zu	I-OTH	O	O	O	O	O	_	_	_
beleh	I-OTH	O	O	O	O	O	_	_	_
wie	I-OTH	O	O	O	O	O	_	_	_
diese	I-OTH	O	O	O	O	O	_	_	_
Id	I-OTH	O	O	O	O	O	_	_	_
sie	I-OTH	O	O	O	O	O	_	_	_
was	I-OTH	O	O	O	O	O	_	_	_
nicht	I-OTH	O	O	O	O	O	_	_	_
zu	I-OTH	O	O	O	O	O	_	_	_
sen	I-OTH	O	O	O	O	O	_	_	_
Onkel	I-OTH	O	O	O	O	O	_	_	_
Johann	I-OTH	O	O	O	O	O	_	_	_
zu	I-OTH	O	O	O	O	O	_	_	_
in	I-OTH	O	O	O	O	O	_	_	_
Dankbesucht	I-OTH	O	O	O	O	O	_	_	_
selbe	I-OTH	O	O	O	O	O	_	_	_
brachte	O	O	O	O	O	O	_	_	_
fur	O	O	O	O	O	O	_	_	_
ihnen	O	O	O	O	O	O	_	_	_
Ar	B-LOC	O	O	O	O	O	_	_	_
Krug	I-LOC	O	O	O	O	O	_	_	_
bald	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
seeligen	O	O	O	O	O	O	_	_	_
bekennen	O	O	O	O	O	O	_	_	_
welches	O	O	O	O	O	O	_	_	_
zugeteilt	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
ger	O	O	O	O	O	O	_	_	_
Kopf	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
ten	O	O	O	O	O	O	_	_	_
Verge	O	O	O	O	O	O	_	_	_
gegenteilen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
Von	O	O	O	O	O	O	_	_	_
Schwersten	O	O	O	O	O	O	_	_	_
Burschen	O	O	O	O	O	O	_	_	_
Jahr	O	O	O	O	O	O	_	_	_
seiner	O	O	O	O	O	O	_	_	_
Fleisch	O	O	O	O	O	O	_	_	_
Rutenbeken	B-LOC	O	O	O	O	O	_	_	_
besaget	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
