TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Es	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Uhr	O	O	O	O	O	O	_	_	_
wo	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Brauer	B-PER	O	O	O	O	O	_	_	_
unser	O	O	O	O	O	O	_	_	_
Haus	O	O	O	O	O	O	_	_	_
verließen	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Bett	O	O	O	O	O	O	_	_	_
gehen	O	O	O	O	O	O	_	_	_
wollten	O	O	O	O	O	O	_	_	_
Auf	O	O	O	O	O	O	_	_	_
einmal	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
unterem	O	O	O	O	O	O	_	_	_
Bett	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
fürchterliches	O	O	O	O	O	O	_	_	_
Geläut	O	O	O	O	O	O	_	_	_
Frank	B-PER	O	O	O	O	O	_	_	_
machte	O	O	O	O	O	O	_	_	_
Licht	O	O	O	O	O	O	_	_	_
u	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
hing	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
große	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Sprung	O	O	O	O	O	O	_	_	_
fodern	O	O	O	O	O	O	_	_	_
befestigte	O	O	O	O	O	O	_	_	_
Gloke	O	O	O	O	O	O	_	_	_
genannt	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Glocke	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Schiller	B-PER	O	O	O	O	O	_	_	_
Diesen	O	O	O	O	O	O	_	_	_
Spaß	O	O	O	O	O	O	_	_	_
