TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Und	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
lebe	O	O	O	O	O	O	_	_	_
Telle	B-PER	O	O	O	O	O	_	_	_
schickt	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
zum	O	O	O	O	O	O	_	_	_
Genuß	O	O	O	O	O	O	_	_	_
aus	O	O	O	O	O	O	_	_	_
unsern	O	O	O	O	O	O	_	_	_
Garten	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Bleichen	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
erste	O	O	O	O	O	O	_	_	_
Freilungsboten	O	O	O	O	O	O	_	_	_
wan	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Rosen	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
blechen	O	O	O	O	O	O	_	_	_
dan	O	O	O	O	O	O	_	_	_
seinde	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Geiste	B-OTH	O	O	O	O	O	https://www.wikidata.org/wiki/Q120312205	_	_
der	O	O	O	O	O	O	_	_	_
Erinnerung	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
Strauß	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
leben	O	O	O	O	O	O	_	_	_
Sie	O	O	O	O	O	O	_	_	_
wohl	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
unwirschen	O	O	O	O	O	O	_	_	_
verblicken	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
besten	O	O	O	O	O	O	_	_	_
Gruß	O	O	O	O	O	O	_	_	_
Mein	O	O	O	O	O	O	_	_	_
Mann	O	O	O	O	O	O	_	_	_
läßt	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Eltern	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
