TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
fertig	O	O	O	O	O	O	_	_	_
letzten	O	O	O	O	O	O	_	_	_
Abend	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
heimkam	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Zimme	O	O	O	O	O	O	_	_	_
machen	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
Geschirre	O	O	O	O	O	O	_	_	_
ver	O	O	O	O	O	O	_	_	_
denn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
besuch	O	O	O	O	O	O	_	_	_
dort	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
1871	O	O	O	O	O	O	_	_	_
Uhr	O	O	O	O	O	O	_	_	_
Mich	O	O	O	O	O	O	_	_	_
wunderts	O	O	O	O	O	O	_	_	_
ob	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
halt	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
Hause	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
auser	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
August	B-PER	O	O	O	O	O	_	_	_
zufrieden	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
seine	O	O	O	O	O	O	_	_	_
Stelle	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	_
Zähnert	O	O	O	O	O	O	_	_	_
sicher	O	O	O	O	O	O	_	_	_
schade	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Jungens	O	O	O	O	O	O	_	_	_
solche	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
gute	O	O	O	O	O	O	_	_	_
Stelle	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
finden	O	O	O	O	O	O	_	_	_
nachdem	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
sowie	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
mußten	O	O	O	O	O	O	_	_	_
einbüßen	O	O	O	O	O	O	_	_	_
Sach	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
August	B-PER	O	O	O	O	O	_	_	_
nochmals	O	O	O	O	O	O	_	_	_
vielen	O	O	O	O	O	O	_	_	_
herzlichen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
verbleibe	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Liebe	O	O	O	O	O	O	_	_	_
deine	O	O	O	O	O	O	_	_	_
Frei	O	O	O	O	O	O	_	_	_
Wir	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Anna	B-PER	O	O	O	O	O	_	_	_
Reber	O	O	O	O	O	O	_	_	_
erzählen	O	O	O	O	O	O	_	_	_
können	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
unser	O	O	O	O	O	O	_	_	_
wiedersehn	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
vielleicht	O	O	O	O	O	O	_	_	_
beer	O	O	O	O	O	O	_	_	_
Pittsburg	B-LOC	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
21	O	O	O	O	O	O	_	_	_
April	O	O	O	O	O	O	_	_	_
Meine	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
gute	O	O	O	O	O	O	_	_	_
Tekla	B-PER	O	O	O	O	O	_	_	_
Vielen	O	O	O	O	O	O	_	_	_
herzlichen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
schönes	O	O	O	O	O	O	_	_	_
Geschenk	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Augen	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
vielen	O	O	O	O	O	O	_	_	_
Dank	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
schöne	O	O	O	O	O	O	_	_	_
Kissen	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
sicher	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
wählte	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
gute	O	O	O	O	O	O	_	_	_
Freunde	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wo	O	O	O	O	O	O	_	_	_
einem	O	O	O	O	O	O	_	_	_
innern	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
liebe	O	O	O	O	O	O	_	_	_
Tekla	B-PER	O	O	O	O	O	_	_	_
wie	O	O	O	O	O	O	_	_	_
hast	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
deine	O	O	O	O	O	O	_	_	_
behl	O	O	O	O	O	O	_	_	_
dabei	O	O	O	O	O	O	_	_	_
Ostern	B-OTH	O	O	O	O	O	_	_	_
verbracht	O	O	O	O	O	O	_	_	_
denen	O	O	O	O	O	O	_	_	_
Geschwistern	O	O	O	O	O	O	_	_	_
gewesen	O	O	O	O	O	O	_	_	_
Hier	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
viel	O	O	O	O	O	O	_	_	_
Festtags	B-OTH	O	O	O	O	O	_	_	_
stimmung	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
meine	O	O	O	O	O	O	_	_	_
freien	O	O	O	O	O	O	_	_	_
Sonntag	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Edgewolt	O	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
Amalie	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Tillig	B-PER	O	O	O	O	O	_	_	_
Tilli	B-PER	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
Feuer	O	O	O	O	O	O	_	_	_
Col	O	O	O	O	O	O	_	_	_
do	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
geht	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
29	O	O	O	O	O	O	_	_	_
ten	O	O	O	O	O	O	_	_	_
diesen	O	O	O	O	O	O	_	_	_
Monat	O	O	O	O	O	O	_	_	_
nach	O	O	O	O	O	O	_	_	_
ihren	O	O	O	O	O	O	_	_	_
b	O	O	O	O	O	O	_	_	_
