TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
sein	O	O	O	O	O	O	_	_	_
ehe	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
bindet	O	O	O	O	O	O	_	_	_
Wenn	B-OTH	O	O	O	O	O	Q282	_	_
es	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Rate	B-OTH	O	O	O	O	O	Q223973	_	_
des	O	O	O	O	O	O	_	_	_
höchsten	O	O	O	O	O	O	_	_	_
beschlossen	O	O	O	O	O	O	_	_	_
O	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
dann	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
Ihnen	O	O	O	O	O	O	_	_	_
Ihr	O	O	O	O	O	O	_	_	_
Teil	B-OTH	O	O	O	O	O	Q178024	_	_
zufallen	O	O	O	O	O	O	_	_	_
ohne	O	O	O	O	O	O	_	_	_
alles	O	O	O	O	O	O	_	_	_
zutun	O	O	O	O	O	O	_	_	_
deshalb	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
immer	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
besten	O	O	O	O	O	O	_	_	_
wenn	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Geschick	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
eingreift	O	O	O	O	O	O	_	_	_
Nun	B-OTH	O	O	O	O	O	Q2005160	_	_
haben	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
wenigen	O	O	O	O	O	O	_	_	_
Ta	O	O	O	O	O	O	_	_	_
gen	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
schöne	O	O	O	O	O	O	_	_	_
Pfingstfest	B-OTH	O	O	O	O	O	Q39864	_	_
und	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Natur	B-OTH	O	O	O	O	O	Q3559389	_	_
ist	O	O	O	O	O	O	_	_	_
herrlich	O	O	O	O	O	O	_	_	_
geschmückt	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
dieses	O	O	O	O	O	O	_	_	_
Fasse	B-OTH	O	O	O	O	O	Q2751128	_	_
Alles	B-OTH	O	O	O	O	O	Q208385	_	_
blust	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
gent	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
unzähligen	O	O	O	O	O	O	_	_	_
Exemplaren	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
herrlichsten	O	O	O	O	O	O	_	_	_
Blinnen	B-OTH	O	O	O	O	O	Q13586859	_	_
entfal	O	O	O	O	O	O	_	_	_
tet	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Singen	B-OTH	O	O	O	O	O	Q3544562	_	_
und	O	O	O	O	O	O	_	_	_
